CLOSEDATE,Company_House_Number,LEGALNAME,LIVE,NAME,OPENDATE,UKPRN,URN,DataSourcePath,DataSourceId
null,03928097,A2Z-COMPUTING LTD,TRUE,null,14/09/2024,10000032,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
25/03/2020,04898286,LIFELONG LEARNING (LONDON) INTERNATIONAL LIMITED,FALSE,Lifelong Learning International,25/02/2020,10000033,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
17/10/2017,04177017,A4E MANAGEMENT LTD,FALSE,null,24/07/2017,10000034,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
05/11/2007,00811071,A.A. DEVELOPMENTS LIMITED,FALSE,AA Academy,15/04/2007,10000035,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
03/04/2007,03987024,AA TRAINING SOLUTIONS LIMITED,FALSE,null,27/03/2007,10000036,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
11/07/2012,SC199329,AVIEMORE AND AREA LEARNING PROJECT,FALSE,AALP,18/12/2009,10000037,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,03345125,A.A.S. TRAINING LIMITED,TRUE,null,17/07/2026,10000038,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
27/08/2019,04841845,AB CHEESEMAKING LIMITED,FALSE,null,19/05/2019,10000039,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
08/03/2017,02926436,ABACUS CARE (HOME CARE AND NURSING SERVICES) LIMITED,FALSE,null,07/12/2016,10000040,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,03783671,THE ABBEY ACCESS CENTRE,TRUE,null,23/06/2025,10000041,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
