Provider.Ukprn,Provider.Urn,Provider.Name,ProviderType.ProviderType,ProviderType.ProviderTypeCode,ProviderType.Store_ProviderType,ProviderType.Store_ProviderTypeCode,ProviderSubType.ProviderSubtype,ProviderSubType.ProviderSubtypeCode,ProviderSubType.Store_ProviderSubtype,ProviderSubType.Store_ProviderSubtypeCode,FurtherEducationType.FurtherEducationType,FurtherEducationType.Code,Authority.Authority,Authority.Code,Provider.DateOpened,Provider.DateClosed,ReasonEstablishmentOpened.ReasonEstablishmentOpened,ReasonEstablishmentOpened.Code,ReasonEstablishmentClosed.ReasonEstablishmentClosed,ReasonEstablishmentClosed.Code,PaymentOrganisation.Name,PaymentOrganisation.Ukprn,PaymentOrganisation.TrustCode,PaymentOrganisation.Urn,PaymentOrganisation.PaymentOrganisationType,PaymentOrganisation.CompanyHouseNumber,PaymentOrganisation.GroupIdNumber,ProviderStatus.ProviderStatus,ProviderStatus.Code,PhaseOfEducation.PhaseOfEducation,PhaseOfEducation.Code,Provider.StatutoryLowAge,Provider.StatutoryHighAge,Provider.EstablishmentNumber,Provider.DfeEstablishmentNumber,Provider.Postcode,Provider.Town,Provider.Street,Provider.Locality,Provider.Address3,TrustStatus.TrustStatus,TrustStatus.Code,Provider.PreviousLaCode,Provider.PreviousLaName,Provider.PreviousEstablishmentNumber,Provider.RscRegionName,Provider.RscRegionCode,Provider.GovernmentOfficeRegionName,Provider.GovernmentOfficeRegionCode,Provider.DistrictName,Provider.DistrictCode,Provider.WardName,Provider.WardCode,Provider.CensusWardName,Provider.CensusWardCode,Provider.MiddleSuperOutputAreaName,Provider.MiddleSuperOutputAreaCode,Provider.LowerSuperOutputAreaName,Provider.LowerSuperOutputAreaCode,Provider.ParliamentaryConstituencyName,Provider.ParliamentaryConstituencyCode,Provider.CountryCode,Provider.CountryName,Provider.OfficialSixthFormCode,Provider.OfficialSixthFormName,Stream,Period
10078036,100164,Charlton Manor Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Greenwich,203,,,Not applicable,00,Not applicable,00,ROYAL BOROUGH OF GREENWICH,10003990,,,LA,,,Open,1,Primary,2,3,11,2917,2032917,SE7 7EF,London,Indus Road,,Charlton,Not applicable,0,999,,,,,London,H,Greenwich,E09000011,Charlton Hornfair,E05014074,,999999,Greenwich 019,E02000331,Greenwich 019B,E01001650,Eltham and Chislehurst,E14001223,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10078054,100115,Cherry Orchard Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Greenwich,203,,,Not applicable,00,Not applicable,00,ROYAL BOROUGH OF GREENWICH,10003990,,,LA,,,Open,1,Primary,2,4,11,2106,2032106,SE7 7DG,London,Rectory Field Crescent,Marlborough Lane,,Not applicable,0,999,,,,,London,H,Greenwich,E09000011,Charlton Hornfair,E05014074,,999999,Greenwich 012,E02000324,Greenwich 012D,E01001595,Greenwich and Woolwich,E14001257,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10074737,100165,Christ Church Church of England Primary School,Local authority maintained schools,4,,,Voluntary aided school,02,,,Not applicable,00,Greenwich,203,,,Not applicable,00,Not applicable,00,ROYAL BOROUGH OF GREENWICH,10003990,,,LA,,,Open,1,Primary,2,4,11,3322,2033322,SE10 0DZ,London,45 Commerell Street,Greenwich,,Not applicable,0,999,,,,,London,H,Greenwich,E09000011,East Greenwich,E05014076,,999999,Greenwich 037,E02006930,Greenwich 037E,E01034183,Greenwich and Woolwich,E14001257,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10076255,100166,"Christ Church Church of England Primary School, Shooters Hill",Local authority maintained schools,4,,,Voluntary aided school,02,,,Not applicable,00,Greenwich,203,,,Not applicable,00,Not applicable,00,ROYAL BOROUGH OF GREENWICH,10003990,,,LA,,,Open,1,Primary,2,5,11,3331,2033331,SE18 3RS,London,Shooters Hill,,,Not applicable,0,999,,,,,London,H,Greenwich,E09000011,Shooters Hill,E05014089,,999999,Greenwich 020,E02000332,Greenwich 020D,E01001682,Erith and Thamesmead,E14001229,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10074742,100028,"Christ Church Primary School, Hampstead",Local authority maintained schools,4,,,Voluntary aided school,02,,,Not applicable,00,Camden,202,,,Not applicable,00,Not applicable,00,CAMDEN LONDON BOROUGH COUNCIL,10003988,,,LA,,,Open,1,Primary,2,4,11,3323,2023323,NW3 1JH,London,Christ Church Hill,,,Not applicable,0,999,,,,,London,H,Camden,E09000007,Hampstead Town,E05013659,,999999,Camden 002,E02000167,Camden 002E,E01000899,Hampstead and Highgate,E14001265,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10079318,100029,Christ Church School,Local authority maintained schools,4,,,Voluntary aided school,02,,,Not applicable,00,Camden,202,,,Not applicable,00,Not applicable,00,CAMDEN LONDON BOROUGH COUNCIL,10003988,,,LA,,,Open,1,Primary,2,3,11,3327,2023327,NW1 4BD,London,Redhill Street,Camden,,Not applicable,0,999,,,,,London,H,Camden,E09000007,Regent's Park,E05013668,,999999,Camden 023,E02000188,Camden 023C,E01000949,Holborn and St Pancras,E14001290,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10078214,130342,Christopher Hatton Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Camden,202,01/01/1996,,Not applicable,00,Not applicable,00,CAMDEN LONDON BOROUGH COUNCIL,10003988,,,LA,,,Open,1,Primary,2,3,11,2842,2022842,EC1R 4PQ,London,38 Laystall Street,,,Not applicable,0,999,,,,,London,H,Camden,E09000007,Holborn & Covent Garden,E05013662,,999999,Camden 027,E02000192,Camden 027D,E01000920,Holborn and St Pancras,E14001290,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10069439,132800,Conway Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Greenwich,203,01/01/2001,,Not applicable,00,Not applicable,00,ROYAL BOROUGH OF GREENWICH,10003990,,,LA,,,Open,1,Primary,2,3,11,2924,2032924,SE18 1QY,London,Gallosson Road,,Plumstead,Not applicable,0,999,,,,,London,H,Greenwich,E09000011,Plumstead & Glyndon,E05014087,,999999,Greenwich 006,E02000318,Greenwich 006D,E01001675,Erith and Thamesmead,E14001229,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10078041,100152,De Lucy Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Greenwich,203,,,Not applicable,00,,99,ROYAL BOROUGH OF GREENWICH,10003990,,,LA,,,Open,1,Primary,2,3,11,2813,2032813,SE2 9PD,London,Cookhill Road,Abbey Wood,,Not applicable,0,999,,,,,London,H,Greenwich,E09000011,Abbey Wood,E05014072,,999999,Greenwich 003,E02000315,Greenwich 003B,E01001576,Erith and Thamesmead,E14001229,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10063108,143599,Deansfield Primary School,Academies,10,,,Academy converter,34,,,Not applicable,00,Greenwich,203,01/07/2017,,Academy Converter,10,,99,THE COMPASS PARTNERSHIP OF SCHOOLS,10064633,16726,,Multi-academy trust,10360957,TR03593,Open,1,Primary,2,3,11,2923,2032923,SE9 1XP,London,Dairsie Road,Eltham,,Supported by a multi-academy trust,3,999,,,,,London,H,Greenwich,E09000011,Eltham Park & Progress,E05014078,,999999,Greenwich 023,E02000335,Greenwich 023B,E01001606,Eltham and Chislehurst,E14001223,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10078197,131109,Discovery Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Greenwich,203,01/09/2007,,New Provision,06,Not applicable,00,ROYAL BOROUGH OF GREENWICH,10003990,,,LA,,,Open,1,Primary,2,3,11,3670,2033670,SE28 0JN,London,Battery Road,,Thamesmead,Not applicable,0,999,,,,,London,H,Greenwich,E09000011,West Thamesmead,E05014091,,999999,Greenwich 002,E02000314,Greenwich 002G,E01033741,Erith and Thamesmead,E14001229,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10077180,100120,Ealdham Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Greenwich,203,,,Not applicable,00,Not applicable,00,ROYAL BOROUGH OF GREENWICH,10003990,,,LA,,,Open,1,Primary,2,3,11,2174,2032174,SE9 6BP,London,Ealdham Square,Eltham,,Not applicable,0,999,,,,,London,H,Greenwich,E09000011,Eltham Page,E05014077,,999999,Greenwich 034,E02006927,Greenwich 034H,E01034176,Eltham and Chislehurst,E14001223,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10078062,100013,Edith Neville Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Camden,202,,,Not applicable,00,Not applicable,00,CAMDEN LONDON BOROUGH COUNCIL,10003988,,,LA,,,Open,1,Primary,2,3,11,2184,2022184,NW1 1HQ,London,85 Polygon Road,,,Not applicable,0,999,,,,,London,H,Camden,E09000007,St Pancras & Somers Town,E05013669,,999999,Camden 022,E02000187,Camden 022G,E01035709,Holborn and St Pancras,E14001290,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10069435,132827,Eglinton Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Greenwich,203,01/04/2001,,Not applicable,00,Not applicable,00,ROYAL BOROUGH OF GREENWICH,10003990,,,LA,,,Open,1,Primary,2,3,11,2925,2032925,SE18 3PY,London,Paget Rise,,,Not applicable,0,999,,,,,London,H,Greenwich,E09000011,Shooters Hill,E05014089,,999999,Greenwich 015,E02000327,Greenwich 015A,E01001698,Greenwich and Woolwich,E14001257,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10078057,100027,Eleanor Palmer Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Camden,202,,,Not applicable,00,Not applicable,00,CAMDEN LONDON BOROUGH COUNCIL,10003988,,,LA,,,Open,1,Primary,2,3,11,2841,2022841,NW5 2JA,London,Lupton Street,Tufnell Park,,Not applicable,0,999,,,,,London,H,Camden,E09000007,Kentish Town North,E05013663,,999999,Camden 003,E02000168,Camden 003C,E01000921,Holborn and St Pancras,E14001290,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
